home_team,away_team
France,Mexico
United States,Belgium
Serbia,Brazil
Romania,Peru
Argentina,France
Chile,Mexico
Serbia,Bolivia
United States,Paraguay
Uruguay,Peru
Chile,France
Argentina,Mexico
Brazil,Bolivia
Paraguay,Belgium
Uruguay,Romania
Argentina,Chile
Argentina,United States
Uruguay,Serbia
Uruguay,Argentina
Austria,France
Czechia,Romania
Germany,Belgium
Hungary,Egypt
Italy,United States
Spain,Brazil
Sweden,Argentina
Switzerland,Netherlands
Austria,Hungary
Czechia,Switzerland
Germany,Sweden
Italy,Spain
Italy,Spain
Czechia,Germany
Italy,Austria
Germany,Austria
Italy,Czechia
Switzerland,Germany
Cuba,Romania
France,Belgium
Hungary,Indonesia
Italy,Norway
Brazil,Poland
Czechia,Netherlands
Cuba,Romania
Switzerland,Germany
Brazil,Czechia
Hungary,Switzerland
Italy,France
Sweden,Cuba
Brazil,Czechia
Hungary,Sweden
Italy,Brazil
Brazil,Sweden
Italy,Hungary
Brazil,Mexico
Serbia,Switzerland
England,Chile
Spain,United States
Sweden,Italy
Brazil,Switzerland
Serbia,Mexico
Spain,Chile
United States,England
Sweden,Paraguay
Brazil,Serbia
Chile,United States
Spain,England
Italy,Paraguay
Uruguay,Bolivia
Switzerland,Mexico
Brazil,Sweden
Uruguay,Spain
Brazil,Spain
Uruguay,Sweden
Sweden,Spain
Uruguay,Brazil
Brazil,Mexico
Serbia,France
Austria,Scotland
Uruguay,Czechia
Switzerland,Italy
Hungary,South Korea
Germany,Turkey
England,Belgium
Uruguay,Scotland
Brazil,Serbia
Austria,Czechia
France,Mexico
Hungary,Germany
Turkey,South Korea
Italy,Belgium
England,Switzerland
Germany,Turkey
Switzerland,Italy
Austria,Switzerland
Uruguay,England
Hungary,Brazil
Germany,Serbia
Hungary,Uruguay
Germany,Austria
Austria,Uruguay
Germany,Hungary
Sweden,Mexico
Argentina,Germany
Northern Ireland,Czechia
France,Paraguay
Serbia,Scotland
Hungary,Wales
Brazil,Austria
Russia,England
Argentina,Northern Ireland
Germany,Czechia
Paraguay,Scotland
Serbia,France
Mexico,Wales
Brazil,England
Russia,Austria
Sweden,Hungary
Sweden,Wales
Czechia,Argentina
Germany,Northern Ireland
France,Scotland
Paraguay,Serbia
Hungary,Mexico
Brazil,Russia
England,Austria
Northern Ireland,Czechia
Wales,Hungary
Russia,England
Brazil,Wales
France,Northern Ireland
Sweden,Russia
Germany,Serbia
Brazil,France
Sweden,Germany
France,Germany
Brazil,Sweden
Uruguay,Colombia
Chile,Switzerland
Brazil,Mexico
Argentina,Bulgaria
Russia,Serbia
Germany,Italy
Czechia,Spain
Hungary,England
Serbia,Uruguay
Chile,Italy
Brazil,Czechia
England,Argentina
Russia,Colombia
Germany,Switzerland
Spain,Mexico
Hungary,Bulgaria
Russia,Uruguay
Germany,Chile
Brazil,Spain
Hungary,Argentina
Serbia,Colombia
Italy,Switzerland
Mexico,Czechia
England,Bulgaria
Brazil,England
Chile,Russia
Czechia,Hungary
Serbia,Germany
Brazil,Chile
Czechia,Serbia
Chile,Serbia
Brazil,Czechia
England,Uruguay
Germany,Switzerland
Brazil,Bulgaria
Russia,North Korea
France,Mexico
Argentina,Spain
Portugal,Hungary
Italy,Chile
Uruguay,France
Spain,Switzerland
Hungary,Brazil
Chile,North Korea
Argentina,Germany
Portugal,Bulgaria
Russia,Italy
England,Mexico
Mexico,Uruguay
Argentina,Switzerland
Portugal,Brazil
North Korea,Italy
England,France
Germany,Spain
Hungary,Bulgaria
Russia,Chile
England,Argentina
Portugal,North Korea
Russia,Hungary
Germany,Uruguay
Germany,Russia
England,Portugal
Portugal,Russia
England,Germany
Mexico,Russia
Uruguay,Israel
England,Romania
Peru,Bulgaria
Belgium,El Salvador
Italy,Sweden
Brazil,Czechia
Germany,Morocco
Russia,Belgium
Uruguay,Italy
Romania,Czechia
Peru,Morocco
Mexico,El Salvador
Sweden,Israel
Brazil,England
Germany,Bulgaria
Russia,El Salvador
Sweden,Uruguay
Brazil,Romania
Germany,Peru
Mexico,Belgium
Italy,Israel
England,Czechia
Bulgaria,Morocco
Brazil,Peru
Italy,Mexico
Russia,Uruguay
Germany,England
Brazil,Uruguay
Italy,Germany
Germany,Uruguay
Brazil,Italy
Brazil,Serbia
Germany,Chile
East Germany,Australia
Democratic Republic of the Congo,Scotland
Sweden,Bulgaria
Uruguay,Netherlands
Italy,Haiti
Poland,Argentina
Australia,Germany
Chile,East Germany
Scotland,Brazil
Serbia,Democratic Republic of the Congo
Bulgaria,Uruguay
Netherlands,Sweden
Argentina,Italy
Haiti,Poland
Australia,Chile
Scotland,Serbia
Democratic Republic of the Congo,Brazil
East Germany,Germany
Bulgaria,Netherlands
Sweden,Uruguay
Argentina,Haiti
Poland,Italy
Serbia,Germany
Brazil,East Germany
Netherlands,Argentina
Sweden,Poland
Argentina,Brazil
East Germany,Netherlands
Poland,Serbia
Germany,Sweden
Poland,Germany
Argentina,East Germany
Netherlands,Brazil
Sweden,Serbia
Brazil,Poland
Netherlands,Germany
Germany,Poland
Italy,France
Tunisia,Mexico
Argentina,Hungary
Austria,Spain
Brazil,Sweden
Netherlands,Iran
Peru,Scotland
Italy,Hungary
Poland,Tunisia
Germany,Mexico
Argentina,France
Austria,Sweden
Brazil,Spain
Netherlands,Peru
Scotland,Iran
France,Hungary
Poland,Mexico
Germany,Tunisia
Argentina,Italy
Brazil,Austria
Spain,Sweden
Peru,Iran
Scotland,Netherlands
Austria,Netherlands
Italy,Germany
Brazil,Peru
Argentina,Poland
Peru,Poland
Italy,Austria
Netherlands,Germany
Argentina,Brazil
Austria,Germany
Italy,Netherlands
Brazil,Poland
Argentina,Peru
Brazil,Italy
Argentina,Netherlands
Argentina,Belgium
Italy,Poland
Brazil,Russia
Peru,Cameroon
Hungary,El Salvador
Scotland,New Zealand
Germany,Algeria
England,France
Spain,Honduras
Chile,Austria
Czechia,Kuwait
Serbia,Northern Ireland
Italy,Peru
Argentina,Hungary
Brazil,Scotland
Poland,Cameroon
Belgium,El Salvador
Russia,New Zealand
Germany,Chile
England,Czechia
Spain,Serbia
Algeria,Austria
France,Kuwait
Honduras,Northern Ireland
Poland,Peru
Belgium,Hungary
Russia,Scotland
Italy,Cameroon
Argentina,El Salvador
Brazil,New Zealand
Algeria,Chile
France,Czechia
Honduras,Serbia
Germany,Austria
England,Kuwait
Spain,Northern Ireland
Austria,France
Poland,Belgium
Italy,Argentina
Germany,England
Austria,Northern Ireland
Belgium,Russia
Argentina,Brazil
Germany,Spain
France,Northern Ireland
Russia,Poland
Italy,Brazil
Spain,England
Poland,Italy
Germany,France
Poland,France
Italy,Germany
Bulgaria,Italy
Spain,Brazil
Canada,France
Argentina,South Korea
Russia,Hungary
Morocco,Poland
Belgium,Mexico
Algeria,Northern Ireland
Portugal,England
Paraguay,Iraq
Uruguay,Germany
Scotland,Denmark
Italy,Argentina
France,Russia
South Korea,Bulgaria
Hungary,Canada
Brazil,Algeria
England,Morocco
Mexico,Paraguay
Northern Ireland,Spain
Poland,Portugal
Iraq,Belgium
Germany,Scotland
Denmark,Uruguay
Hungary,France
Russia,Canada
Argentina,Bulgaria
South Korea,Italy
Iraq,Mexico
Paraguay,Belgium
England,Poland
Portugal,Morocco
Algeria,Spain
Northern Ireland,Brazil
Denmark,Germany
Scotland,Uruguay
Mexico,Bulgaria
Russia,Belgium
Brazil,Poland
Argentina,Uruguay
Italy,France
Morocco,Germany
England,Paraguay
Denmark,Spain
Brazil,France
Germany,Mexico
Argentina,England
Spain,Belgium
France,Germany
Argentina,Belgium
Belgium,France
Argentina,Germany
Argentina,Cameroon
Russia,Romania
United Arab Emirates,Colombia
Italy,Austria
United States,Czechia
Brazil,Sweden
Germany,Serbia
Costa Rica,Scotland
England,Republic of Ireland
Belgium,South Korea
Netherlands,Egypt
Uruguay,Spain
Argentina,Russia
Cameroon,Romania
Serbia,Colombia
Italy,United States
Austria,Czechia
Germany,United Arab Emirates
Brazil,Costa Rica
Sweden,Scotland
England,Netherlands
Republic of Ireland,Egypt
Belgium,Uruguay
South Korea,Spain
Argentina,Romania
Cameroon,Russia
Germany,Colombia
Serbia,United Arab Emirates
Austria,United States
Italy,Czechia
Brazil,Scotland
Sweden,Costa Rica
Belgium,Spain
South Korea,Uruguay
England,Egypt
Republic of Ireland,Netherlands
Cameroon,Colombia
Czechia,Costa Rica
Brazil,Argentina
Germany,Netherlands
Republic of Ireland,Romania
Italy,Uruguay
Spain,Serbia
England,Belgium
Argentina,Serbia
Republic of Ireland,Italy
Czechia,Germany
Cameroon,England
Argentina,Italy
Germany,England
Italy,England
Germany,Argentina
China,Norway
Germany,Nigeria
Denmark,New Zealand
Japan,Brazil
Sweden,United States
Chinese Taipei,Italy
Norway,New Zealand
Italy,Nigeria
China,Denmark
Brazil,United States
Japan,Sweden
Chinese Taipei,Germany
Brazil,Sweden
Japan,United States
China,New Zealand
Norway,Denmark
Chinese Taipei,Nigeria
Italy,Germany
Denmark,Germany
China,Sweden
Norway,Italy
United States,Chinese Taipei
Sweden,Norway
Germany,United States
Sweden,Germany
Norway,United States
Germany,Bolivia
Spain,South Korea
United States,Switzerland
Italy,Republic of Ireland
Colombia,Romania
Belgium,Morocco
Norway,Mexico
Cameroon,Sweden
Brazil,Russia
Netherlands,Saudi Arabia
Argentina,Greece
Germany,Spain
Nigeria,Bulgaria
Romania,Switzerland
United States,Colombia
Italy,Norway
South Korea,Bolivia
Mexico,Republic of Ireland
Brazil,Cameroon
Sweden,Russia
Belgium,Netherlands
Saudi Arabia,Morocco
Argentina,Nigeria
Bulgaria,Greece
Switzerland,Colombia
United States,Romania
Bolivia,Spain
Germany,South Korea
Italy,Mexico
Republic of Ireland,Norway
Russia,Cameroon
Brazil,Sweden
Belgium,Saudi Arabia
Morocco,Netherlands
Argentina,Bulgaria
Greece,Nigeria
Germany,Belgium
Spain,Switzerland
Saudi Arabia,Sweden
Romania,Argentina
Netherlands,Republic of Ireland
Brazil,United States
Nigeria,Italy
Mexico,Bulgaria
Italy,Spain
Netherlands,Brazil
Bulgaria,Germany
Romania,Sweden
Bulgaria,Italy
Sweden,Brazil
Sweden,Bulgaria
Brazil,Italy
Germany,Japan
Sweden,Brazil
England,Canada
Norway,Nigeria
Denmark,Australia
United States,China
Brazil,Japan
Sweden,Germany
Nigeria,Canada
Norway,England
China,Australia
United States,Denmark
Brazil,Germany
Sweden,Japan
Nigeria,England
Norway,Canada
China,Denmark
United States,Australia
Japan,United States
Norway,Denmark
Germany,England
Sweden,China
United States,Norway
Germany,China
China,United States
Germany,Norway
Brazil,Scotland
Morocco,Norway
Italy,Chile
Cameroon,Austria
Paraguay,Bulgaria
Saudi Arabia,Denmark
France,South Africa
Spain,Nigeria
South Korea,Mexico
Netherlands,Belgium
Argentina,Japan
Serbia,Iran
Jamaica,Croatia
England,Tunisia
Romania,Colombia
Germany,United States
Scotland,Norway
Brazil,Morocco
Chile,Austria
Italy,Cameroon
South Africa,Denmark
France,Saudi Arabia
Nigeria,Bulgaria
Spain,Paraguay
Japan,Croatia
Belgium,Mexico
Netherlands,South Korea
Germany,Serbia
Argentina,Jamaica
United States,Iran
Colombia,Tunisia
Romania,England
Chile,Cameroon
Italy,Austria
Brazil,Norway
Scotland,Morocco
France,Denmark
South Africa,Saudi Arabia
Nigeria,Paraguay
Spain,Bulgaria
Belgium,South Korea
Netherlands,Mexico
Germany,Iran
United States,Serbia
Argentina,Croatia
Japan,Jamaica
Colombia,England
Romania,Tunisia
Italy,Norway
Brazil,Chile
France,Paraguay
Nigeria,Denmark
Germany,Mexico
Netherlands,Serbia
Romania,Croatia
Argentina,England
Italy,France
Brazil,Denmark
Netherlands,Argentina
Germany,Croatia
Brazil,Netherlands
France,Croatia
Netherlands,Croatia
Brazil,France
United States,Denmark
China,Sweden
Brazil,Mexico
Japan,Canada
Germany,Italy
Norway,Russia
North Korea,Nigeria
Australia,Ghana
Japan,Russia
Norway,Canada
Australia,Sweden
China,Ghana
Brazil,Italy
North Korea,Denmark
United States,Nigeria
Germany,Mexico
Canada,Russia
China,Australia
Ghana,Sweden
Norway,Japan
Germany,Brazil
Nigeria,Denmark
Mexico,Italy
United States,North Korea
China,Russia
Norway,Sweden
United States,Germany
Brazil,Nigeria
United States,Brazil
Norway,China
Brazil,Norway
United States,China
France,Senegal
Republic of Ireland,Cameroon
Uruguay,Denmark
Germany,Saudi Arabia
Argentina,Nigeria
Paraguay,South Africa
England,Sweden
Spain,Slovenia
Croatia,Mexico
Brazil,Turkey
Italy,Ecuador
China,Costa Rica
Japan,Belgium
South Korea,Poland
Russia,Tunisia
United States,Portugal
Germany,Republic of Ireland
Denmark,Senegal
Cameroon,Saudi Arabia
France,Uruguay
Sweden,Nigeria
Spain,Paraguay
Argentina,England
South Africa,Slovenia
Italy,Croatia
Brazil,China
Mexico,Ecuador
Costa Rica,Turkey
Japan,Russia
South Korea,United States
Tunisia,Belgium
Portugal,Poland
Denmark,France
Senegal,Uruguay
Cameroon,Germany
Saudi Arabia,Republic of Ireland
Nigeria,England
Sweden,Argentina
Slovenia,Paraguay
South Africa,Spain
Costa Rica,Brazil
Turkey,China
Ecuador,Croatia
Mexico,Italy
Belgium,Russia
Tunisia,Japan
Poland,United States
Portugal,South Korea
Germany,Paraguay
Denmark,England
Sweden,Senegal
Spain,Republic of Ireland
Mexico,United States
Brazil,Belgium
Japan,Turkey
South Korea,Italy
England,Brazil
Germany,United States
Spain,South Korea
Senegal,Turkey
Germany,South Korea
Brazil,Turkey
South Korea,Turkey
Germany,Brazil
Norway,France
Nigeria,North Korea
Germany,Canada
Japan,Argentina
United States,Sweden
Brazil,South Korea
Australia,Russia
China,Ghana
Norway,Brazil
Germany,Japan
France,South Korea
Canada,Argentina
Ghana,Russia
Sweden,North Korea
China,Australia
United States,Nigeria
France,Brazil
South Korea,Norway
Argentina,Germany
Canada,Japan
Sweden,Nigeria
North Korea,United States
Ghana,Australia
China,Russia
Brazil,Sweden
United States,Norway
Germany,Russia
China,Canada
United States,Germany
Sweden,Canada
United States,Canada
Germany,Sweden
Germany,Costa Rica
Poland,Ecuador
England,Paraguay
Trinidad and Tobago,Sweden
Argentina,Côte d'Ivoire
Serbia,Netherlands
Mexico,Iran
Angola,Portugal
Australia,Japan
United States,Czechia
Italy,Ghana
South Korea,Togo
France,Switzerland
Brazil,Croatia
Spain,Ukraine
Tunisia,Saudi Arabia
Germany,Poland
Ecuador,Costa Rica
England,Trinidad and Tobago
Sweden,Paraguay
Argentina,Serbia
Netherlands,Côte d'Ivoire
Mexico,Angola
Portugal,Iran
Czechia,Ghana
Italy,United States
Japan,Croatia
Brazil,Australia
France,South Korea
Togo,Switzerland
Saudi Arabia,Ukraine
Spain,Tunisia
Costa Rica,Poland
Ecuador,Germany
Paraguay,Trinidad and Tobago
Sweden,England
Iran,Angola
Portugal,Mexico
Côte d'Ivoire,Serbia
Netherlands,Argentina
Czechia,Italy
Ghana,United States
Croatia,Australia
Japan,Brazil
Saudi Arabia,Spain
Ukraine,Tunisia
Switzerland,South Korea
Togo,France
Germany,Sweden
Argentina,Mexico
England,Ecuador
Portugal,Netherlands
Italy,Australia
Switzerland,Ukraine
Brazil,Ghana
Spain,France
Germany,Argentina
Italy,Ukraine
England,Portugal
Brazil,France
Germany,Italy
Portugal,France
Germany,Portugal
Italy,France
Germany,Argentina
United States,North Korea
Japan,England
Nigeria,Sweden
Ghana,Australia
New Zealand,Brazil
Norway,Canada
China,Denmark
Argentina,Japan
Sweden,United States
England,Germany
North Korea,Nigeria
Canada,Ghana
Denmark,New Zealand
Australia,Norway
Brazil,China
England,Argentina
Germany,Japan
Nigeria,United States
North Korea,Sweden
Australia,Canada
Norway,Ghana
Brazil,Denmark
China,New Zealand
Germany,North Korea
United States,England
Norway,China
Brazil,Australia
Germany,Norway
United States,Brazil
Norway,United States
Germany,Brazil
South Africa,Mexico
Uruguay,France
South Korea,Greece
Argentina,Nigeria
England,United States
Algeria,Slovenia
Serbia,Ghana
Germany,Australia
Netherlands,Denmark
Japan,Cameroon
Italy,Paraguay
New Zealand,Slovakia
Côte d'Ivoire,Portugal
Brazil,North Korea
Honduras,Chile
Spain,Switzerland
South Africa,Uruguay
Argentina,South Korea
Greece,Nigeria
France,Mexico
Germany,Serbia
Slovenia,United States
England,Algeria
Netherlands,Japan
Ghana,Australia
Cameroon,Denmark
Slovakia,Paraguay
Italy,New Zealand
Brazil,Côte d'Ivoire
Portugal,North Korea
Chile,Switzerland
Spain,Honduras
France,South Africa
Mexico,Uruguay
Greece,Argentina
Nigeria,South Korea
Slovenia,England
United States,Algeria
Australia,Serbia
Ghana,Germany
Paraguay,New Zealand
Slovakia,Italy
Cameroon,Netherlands
Denmark,Japan
North Korea,Côte d'Ivoire
Portugal,Brazil
Chile,Spain
Switzerland,Honduras
Uruguay,South Korea
United States,Ghana
Germany,England
Argentina,Mexico
Netherlands,Slovakia
Brazil,Chile
Paraguay,Japan
Spain,Portugal
Netherlands,Brazil
Uruguay,Ghana
Argentina,Germany
Paraguay,Spain
Uruguay,Netherlands
Germany,Spain
Uruguay,Germany
Netherlands,Spain
Nigeria,France
Germany,Canada
Japan,New Zealand
Mexico,England
Colombia,Sweden
United States,North Korea
Norway,Equatorial Guinea
Brazil,Australia
Canada,France
Germany,Nigeria
Japan,Mexico
New Zealand,England
North Korea,Sweden
United States,Colombia
Australia,Equatorial Guinea
Brazil,Norway
England,Japan
New Zealand,Mexico
Canada,Nigeria
France,Germany
Australia,Norway
Equatorial Guinea,Brazil
North Korea,Colombia
Sweden,United States
England,France
Germany,Japan
Sweden,Australia
Brazil,United States
France,United States
Japan,Sweden
Sweden,France
Japan,United States
Brazil,Croatia
Mexico,Cameroon
Spain,Netherlands
Chile,Australia
Colombia,Greece
Uruguay,Costa Rica
England,Italy
Côte d'Ivoire,Japan
Switzerland,Ecuador
France,Honduras
Argentina,Bosnia and Herzegovina
Germany,Portugal
Iran,Nigeria
Ghana,United States
Belgium,Algeria
Brazil,Mexico
Russia,South Korea
Australia,Netherlands
Spain,Chile
Cameroon,Croatia
Colombia,Côte d'Ivoire
Uruguay,England
Japan,Greece
Italy,Costa Rica
Switzerland,France
Honduras,Ecuador
Argentina,Iran
Germany,Ghana
Nigeria,Bosnia and Herzegovina
Belgium,Russia
South Korea,Algeria
United States,Portugal
Australia,Spain
Netherlands,Chile
Cameroon,Brazil
Croatia,Mexico
Costa Rica,England
Italy,Uruguay
Japan,Colombia
Greece,Côte d'Ivoire
Bosnia and Herzegovina,Iran
Nigeria,Argentina
Honduras,Switzerland
Ecuador,France
Portugal,Ghana
United States,Germany
Algeria,Russia
South Korea,Belgium
Brazil,Chile
Colombia,Uruguay
Netherlands,Mexico
Costa Rica,Greece
France,Nigeria
Germany,Algeria
Argentina,Switzerland
Belgium,United States
France,Germany
Brazil,Colombia
Argentina,Belgium
Netherlands,Costa Rica
Brazil,Germany
Netherlands,Argentina
Brazil,Netherlands
Germany,Argentina
Canada,China
New Zealand,Netherlands
Norway,Thailand
Germany,Côte d'Ivoire
Sweden,Nigeria
Cameroon,Ecuador
United States,Australia
Japan,Switzerland
France,England
Spain,Costa Rica
Colombia,Mexico
Brazil,South Korea
China,Netherlands
Germany,Norway
Canada,New Zealand
Côte d'Ivoire,Thailand
Switzerland,Ecuador
Australia,Nigeria
Japan,Cameroon
United States,Sweden
France,Colombia
Brazil,Spain
England,Mexico
South Korea,Costa Rica
Thailand,Germany
Côte d'Ivoire,Norway
China,New Zealand
Netherlands,Canada
Switzerland,Cameroon
Ecuador,Japan
Nigeria,United States
Australia,Sweden
England,Colombia
Mexico,France
South Korea,Spain
Costa Rica,Brazil
Germany,Sweden
China,Cameroon
Brazil,Australia
France,South Korea
Canada,Switzerland
Norway,England
United States,Colombia
Japan,Netherlands
Germany,France
China,United States
Australia,Japan
England,Canada
United States,Germany
Japan,England
Germany,England
United States,Japan
Russia,Saudi Arabia
Egypt,Uruguay
Morocco,Iran
Portugal,Spain
France,Australia
Argentina,Iceland
Peru,Denmark
Croatia,Nigeria
Costa Rica,Serbia
Germany,Mexico
Brazil,Switzerland
Sweden,South Korea
Belgium,Panama
Tunisia,England
Colombia,Japan
Poland,Senegal
Russia,Egypt
Portugal,Morocco
Uruguay,Saudi Arabia
Iran,Spain
Denmark,Australia
France,Peru
Argentina,Croatia
Brazil,Costa Rica
Nigeria,Iceland
Serbia,Switzerland
Belgium,Tunisia
South Korea,Mexico
Germany,Sweden
England,Panama
Japan,Senegal
Poland,Colombia
Saudi Arabia,Egypt
Uruguay,Russia
Spain,Morocco
Iran,Portugal
Australia,Peru
Denmark,France
Iceland,Croatia
Nigeria,Argentina
South Korea,Germany
Mexico,Sweden
Serbia,Brazil
Switzerland,Costa Rica
Japan,Poland
Senegal,Colombia
England,Belgium
Panama,Tunisia
France,Argentina
Uruguay,Portugal
Spain,Russia
Croatia,Denmark
Brazil,Mexico
Belgium,Japan
Sweden,Switzerland
Colombia,England
Uruguay,France
Brazil,Belgium
Sweden,England
Russia,Croatia
France,Belgium
Croatia,England
Belgium,England
France,Croatia
France,South Korea
Germany,China
Spain,South Africa
Norway,Nigeria
Australia,Italy
Brazil,Jamaica
England,Scotland
Argentina,Japan
Canada,Cameroon
New Zealand,Netherlands
Chile,Sweden
United States,Thailand
Nigeria,South Korea
Germany,Spain
France,Norway
Australia,Brazil
South Africa,China
Japan,Scotland
Jamaica,Italy
England,Argentina
Netherlands,Cameroon
Canada,New Zealand
Sweden,Thailand
United States,Chile
China,Spain
South Africa,Germany
Nigeria,France
South Korea,Norway
Italy,Brazil
Jamaica,Australia
Japan,England
Scotland,Argentina
Cameroon,New Zealand
Netherlands,Canada
Sweden,United States
Thailand,Chile
Germany,Nigeria
Norway,Australia
England,Cameroon
France,Brazil
Spain,United States
Sweden,Canada
Italy,China
Netherlands,Japan
Norway,England
France,United States
Italy,Netherlands
Germany,Sweden
England,United States
Netherlands,Sweden
England,Sweden
United States,Netherlands
Qatar,Ecuador
England,Iran
Senegal,Netherlands
United States,Wales
Argentina,Saudi Arabia
Denmark,Tunisia
Mexico,Poland
France,Australia
Morocco,Croatia
Germany,Japan
Spain,Costa Rica
Belgium,Canada
Switzerland,Cameroon
Uruguay,South Korea
Portugal,Ghana
Brazil,Serbia
Wales,Iran
Qatar,Senegal
Netherlands,Ecuador
England,United States
Tunisia,Australia
Poland,Saudi Arabia
France,Denmark
Argentina,Mexico
Japan,Costa Rica
Belgium,Morocco
Croatia,Canada
Spain,Germany
Cameroon,Serbia
South Korea,Ghana
Brazil,Switzerland
Portugal,Uruguay
Ecuador,Senegal
Netherlands,Qatar
Iran,United States
Wales,England
Australia,Denmark
Tunisia,France
Poland,Argentina
Saudi Arabia,Mexico
Canada,Morocco
Croatia,Belgium
Costa Rica,Germany
Japan,Spain
Ghana,Uruguay
South Korea,Portugal
Cameroon,Brazil
Serbia,Switzerland
Netherlands,United States
Argentina,Australia
France,Poland
England,Senegal
Japan,Croatia
Brazil,South Korea
Morocco,Spain
Portugal,Switzerland
Croatia,Brazil
Netherlands,Argentina
Morocco,Portugal
England,France
Argentina,Croatia
France,Morocco
Croatia,Morocco
Argentina,France
